,Август 2017г.,августу 2016г.,июлю 2017г.,Январь- август 2017г. в%к январю- августу 2016г.,августу 2015г.,июлю 2016г.,январь-  август  2016г.  в%к  январю-  августу  2015г.
Валовой внутренний продукт. млрд.рублей ,41782.1 ,101.5 ,empty,empty,99.5,empty,empty
Индекс промышленного производства ,empty,101.5 ,102.0 ,101.9 ,101.5 ,101.5 ,101.3
Продукция сельского хозяйства. млрд.рублей ,712.6 ,104.7 ,149.1 ,101.5 ,105.7 ,138.3 ,104.7
Грузооборот транспорта. млрд.т-км ,459.2 ,107.8 ,101.6 ,107.3 ,103.0 ,100.0 ,101.5
 в том числе  железнодорожного транспорта ,208.4 ,104.9 ,100.0 ,106.8 ,102.4 ,100.3 ,101.6
Оборот розничной торговли. млрд.рублей ,2591.5 ,101.9 ,103.8 ,100.2 ,95.8 ,103.2 ,95.3
Объем платных услуг населению. млрд.рублей ,752.9 ,98.7 ,100.7 ,100.1 ,101.9 ,102.9 ,99.5
Внешнеторговый оборот. млрд.долларов США ,45.5 ,117.7 ,90.4 ,127.0 ,87.7 ,96.5 ,78.8
 экспорт товаров ,24.7 ,110.2 ,83.8 ,126.6 ,82.2 ,93.4 ,72.2
 импорт товаров ,20.8 ,128.1 ,99.7 ,127.5 ,96.7 ,101.3 ,91.6
Инвестиции в основной капитал. млрд.рублей ,5723.7 ,104.8 ,empty,empty,98.6,empty,empty
Индекс потребительских цен ,empty,103.3 ,99.5 ,104.2 ,106.9 ,100.0 ,107.6
Индекс цен производителей промышленных товаров ,empty,104.7 ,101.5 ,107.6 ,102.9 ,98.7 ,104.2
Реальные располагаемые денежные доходы1 ,empty,99.7 ,100.2 ,98.8 ,90.0 ,99.6 ,94.0
организаций:  номинальная. рублей ,380401 ,107.11 ,98.51 ,107.21 ,109.7 ,98.5 ,107.8
 реальная ,empty,103.71 ,99.01 ,102.91 ,102.7 ,98.5 ,100.1
Общая численность безработных (в возрасте 15-72 лет). млн.человек ,3.81 ,93.9 ,97.1 ,93.0 ,99.3 ,97.9 ,101.7
 зарегистрированных безработных (по данным Роструда). млн.человек ,0.8 ,85.0 ,96.9 ,85.2 ,95.0 ,96.2 ,102.5
